height, height, time (hours), time (days),difference,hash,depth
1565690,,,,1.4333944572482E+016, 1ce9c7f554d0c9f4c709bb3c733803db6b9865a0b9237c2e60654751758de5c3,25
1574526,8836,294.533333333333,12.2722222222222,1.48096885691306E+016, 0ca32f64082eecf558612dd470d0fc58dcb876bedee4b353f570fc662dd17372,7
1578847,4321,144.033333333333,6.00138888888889,1.50460581457809E+016, 92b2408368e99e33da3c094d73c113817c6e047cfc4f18976c673543cc1b7c90,20
1580196,1349,44.9666666666667,1.87361111111111,1.51159592732961E+016, 7fbf3f247c2453cc7f0e289339bc8ded557db88bb628bb102627764dfc2d72d8,31
1581881,1685,56.1666666666667,2.34027777777778,1.51972477988741E+016, 1a3573e19dd618d463feb05ac131924c487e0ffe427e475c0a28ac3d78567265,5
1583266,1385,46.1666666666667,1.92361111111111,1.52668695893869E+016, 1b52e902bb0de11d1f09883769c1ff6e1ec202e5ea6624f6deb80938bbd2119d,23
1583266,0,0,0,1.52666756095038E+016, 6aee35cee17e34435802609548d314746603e174a20390c43e44baeae6f50e78,19
1584464,1198,39.9333333333333,1.66388888888889,1.53254220399797E+016, 68ca2ff7ecfa2642de6310b356dc37da4c35b6e94918a5a2bb19806f72078b4f,3
1587293,2829,94.3,3.92916666666667,1.54690736060021E+016, b4bd6b85aed05b351b2a8f225910009711ffec35a8d944ea0a0901b12155514c,6
1589926,2633,87.7666666666667,3.65694444444444,1.55939882389025E+016, c6f63aa4f7a63d2f436134f1c53e2dabdc7f82e0efadb1fbb8877139e9c3714b,4
1590614,688,22.9333333333333,0.955555555555556,1.56280509054522E+016, a3cb7ec80c852db701f6c7011e792a80c837b08d3bc35b1e46101ef83112be82,1
1591490,876,29.2,1.21666666666667,1.56689282172421E+016, 87c752cdeee4c9ba7aefc879ca1285e39563e1a5c752fc6d8d743a2be452812d,1
1591844,354,11.8,0.491666666666667,1.56861851971986E+016, 03c9b5eb5e1d814f3c01901bab3aa655190b6445b8b9d5e02fce39e436608c3a,1
1592056,212,7.06666666666667,0.294444444444444,1.56964853105366E+016, 6ac8d68e851ad5c51bd5a9ac9b9cea15cc64b3c060b964cd23646e409bb07573,1
1592321,265,8.83333333333333,0.368055555555556,1.57090773640212E+016, 7ccba03c486e765665045bb2fbed51968f35fdde28d2b18abd9f0e6148461344,1
,,,,,,
,,,,,,
,,median:,1.76875,,Note odd distribution of lengths,
,,std dev,3.23478014422694,,,
